Balbilla-verb-indicative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=indicative,,,,,,
Balbilla-verb-participle: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&word_pos=Verb&start=0&word_mood=participle,,,,,,
θάσσων,"Αὔως καὶ γεράρω , Μέμνον , πάϊ Τιθώνοιο , Θηβάας θάσσων ἄντα Δίος πόλιος , ἢ Ἀμένωθ , βασίλευ Αἰγύπτιε , τὼς ἐνέποισιν ἴρηες μύθων τῶν παλάων ἴδριες , χαῖρε , καὶ αὐδάσαις πρόφρων ἀσπάσ̣δ̣ε[ο] [κ]αὔτ[αν] τὰν σέμναν ἄλοχον κοιράνω Ἀδριάνω .",Balbilla2,2,"1ad
 2ad",singular,ATR
αὐδάσαις,"Αὔως καὶ γεράρω , Μέμνον , πάϊ Τιθώνοιο , Θηβάας θάσσων ἄντα Δίος πόλιος , ἢ Ἀμένωθ , βασίλευ Αἰγύπτιε , τὼς ἐνέποισιν ἴρηες μύθων τῶν παλάων ἴδριες , χαῖρε , καὶ αὐδάσαις πρόφρων ἀσπάσ̣δ̣ε[ο] [κ]αὔτ[αν] τὰν σέμναν ἄλοχον κοιράνω Ἀδριάνω .",Balbilla2,2,"1ad
 2ad",singular,ADV
πλάγεις,τῶ ῥα λύγρῳ θαν̣άτῳ δῶκέν τοι ποίναν τʼ ὤτωι ἅκ[ρῳ] ἄορι πλάγεις τῷ νήλας Ἆπιν κάκτανε τὸν θέϊον .,Balbilla2,4,"1ad
 2ad",singular,ADV
αἰθόμενον,"Μέμνονα πυνθανόμαν Αἰγύπτιον , ἀλίω αὔγαι αἰθόμενον , φώνην Θηβαΐκω ’ πυ λίθω .",Balbilla1,3,"1ad
 2ad",singular,ATR
ἐσίδων,"Ἀδρίανον δ’ ἐσίδων , τὸν παμβασίληα , πρὶν αὔγας ἀελίω χαίρην εἶπέ ϝοι ὠς δύνατον .",Balbilla1,4,"1ad
 2ad",singular,ADV
ἐλάων,"Τίταν δ’ ὄττ’ ἐλάων λεύκοισι δι’ αἴθερος ἴπποις ἐ̣ν̣ὶ σκίαι ὠράων δεύτερον ἦχε μέτρον , ὠς χάλκοιο τύπεντ[ο]ς ἴη Μέμνων πάλιν αὔδαν ὀξύτονον .",Balbilla1,5,"1ad
 2ad",singular,ADV
τύπεντ[ο]ς,"Τίταν δ’ ὄττ’ ἐλάων λεύκοισι δι’ αἴθερος ἴπποις ἐ̣ν̣ὶ σκίαι ὠράων δεύτερον ἦχε μέτρον , ὠς χάλκοιο τύπεντ[ο]ς ἴη Μέμνων πάλιν αὔδαν ὀξύτονον .",Balbilla1,5,"1ad
 2ad",singular,ADV
χαίρω[ν],χαίρω[ν] [κ]αὶ τρίτον ἆχον ἴη .,Balbilla1,6,"1ad
 2ad",singular,ADV
σαμαίνο[ν]τά,"κοίρανος Ἀδρίανο[ς] [τότ’] [ἄ]λις δ’ ἀσπάσσατο κʼ αὖτος Μέμνονα , κʼ ἀν [στά]λαι κάλ̣λ̣ι[π]εν ὀψ[ι]γόνοις γρόππατα σαμαίνο[ν]τά τ’ ὄσ’ εὔϊδε κʼ ὤσσ’ ἐσάκουσε , δῆλον παῖσι δ’ ἔγε[ν]τ’ ὤς ϝε φίλισι θέοι .",Balbilla1,7,"1ad
 2ad",plural,ATR
σίγαις,"χθίσδον μὲν Μέμνων σίγαις ἀπε[δέξατ’] [ἀκ]οίτα[ν(?)] [,] ὠς πάλιν ἀ κάλα τυῖδε Σάβιννα μ̣ό[λοι] [.]",Balbilla3,2,"1ad
 2ad",singular,ADV
ἐλθοίσαι,"τέ̣ρπει γάρ σ’ ἐράτα μόρφα βασιλήϊδος ἄμ̣μας , ἐλθοίσαι δ’ [α]ὔ̣ται θήϊον ἄ̣χον ἴη , μὴ καί τοι βασίλευς κοτέ̣σῃ , τό νυ δᾶρον ἀτά[ρβης] τὰν σέμναν κατέ̣χ̣ες κουριδίαν ἄλοχον .",Balbilla3,3,"1ad
 2ad",singular,ATR
τρέσσαις,"κʼ ὠ Μέμνων τρέσσαις μεγάλω μένος Ἀδρι[άνοιο] ἐξαπίνας αὔδασ’ , ἀ δ’ ὀΐοισ’ ἐχάρη .",Balbilla3,4,"1ad
 2ad",singular,ATR
